"ExNum" "CrownShape" "WeatherStation" "CrownTransmissibility" "ForestGapSize" "PlotID" "TotalRad"
354 "Ellipsoid" "Lake Charles" 0.2 15 2 2510561574.39328
355 "Disk" "McMinnville" 0.2 15 2 3105932761.26078
356 "Ellipsoid" "McMinnville" 0.2 15 2 3171645608.36916
357 "Disk" "Lindenberg" 0.2 15 2 2857507405.98053
358 "Ellipsoid" "Lindenberg" 0.2 15 2 2926267269.40382
359 "Disk" "Croker river" 0.2 15 2 3462442646.65159
360 "Ellipsoid" "Croker river" 0.2 15 2 3608905751.63797
361 "Disk" "Phillip SW Belize" 0.15 15 2 2186716737.21636
362 "Ellipsoid" "Phillip SW Belize" 0.15 15 2 2231808213.97818
363 "Disk" "Lake Charles" 0.15 15 2 2259320065.10885
364 "Ellipsoid" "Lake Charles" 0.15 15 2 2304379221.37197
365 "Disk" "McMinnville" 0.15 15 2 2851816526.61155
366 "Ellipsoid" "McMinnville" 0.15 15 2 2920473553.46304
367 "Disk" "Lindenberg" 0.15 15 2 2627307589.35576
368 "Ellipsoid" "Lindenberg" 0.15 15 2 2699239108.70427
369 "Disk" "Croker river" 0.15 15 2 3178375220.61397
370 "Ellipsoid" "Croker river" 0.15 15 2 3331485702.08237
371 "Disk" "Phillip SW Belize" 0.1 15 2 1998027293.76778
372 "Ellipsoid" "Phillip SW Belize" 0.1 15 2 2045139502.37363
373 "Disk" "Lake Charles" 0.1 15 2 2068277067.75706
374 "Ellipsoid" "Lake Charles" 0.1 15 2 2115118415.86434
375 "Disk" "McMinnville" 0.1 15 2 2618088562.13354
376 "Ellipsoid" "McMinnville" 0.1 15 2 2689388769.92761
377 "Disk" "Lindenberg" 0.1 15 2 2415334420.93389
378 "Ellipsoid" "Lindenberg" 0.1 15 2 2490158184.53021
379 "Disk" "Croker river" 0.1 15 2 2916276078.54453
380 "Ellipsoid" "Croker river" 0.1 15 2 3075579119.20341
381 "Disk" "Phillip SW Belize" 0.05 15 2 1825205737.64496
382 "Ellipsoid" "Phillip SW Belize" 0.05 15 2 1874245183.05933
383 "Disk" "Lake Charles" 0.05 15 2 1893279667.60106
384 "Ellipsoid" "Lake Charles" 0.05 15 2 1941681105.16381
385 "Disk" "McMinnville" 0.05 15 2 2403402831.0737
386 "Ellipsoid" "McMinnville" 0.05 15 2 2477029898.33956
387 "Disk" "Lindenberg" 0.05 15 2 2220363600.51796
388 "Ellipsoid" "Lindenberg" 0.05 15 2 2297786048.79633
389 "Disk" "Croker river" 0.05 15 2 2674584629.16318
390 "Ellipsoid" "Croker river" 0.05 15 2 2839621113.51249
391 "Disk" "Phillip SW Belize" 0 15 2 1667223960.04032
392 "Ellipsoid" "Phillip SW Belize" 0 15 2 1718098986.11497
393 "Disk" "Lake Charles" 0 15 2 1733299472.72901
394 "Ellipsoid" "Lake Charles" 0 15 2 1783027088.212
395 "Disk" "McMinnville" 0 15 2 2206490792.30468
396 "Ellipsoid" "McMinnville" 0 15 2 2282114458.36853
397 "Disk" "Lindenberg" 0 15 2 2041244097.49406
398 "Ellipsoid" "Lindenberg" 0 15 2 2120958998.96043
399 "Disk" "Croker river" 0 15 2 2451844555.59424
400 "Ellipsoid" "Croker river" 0 15 2 2622153599.06779
401 "Disk" "Phillip SW Belize" 0.2 20 2 2998330938.60129
402 "Ellipsoid" "Phillip SW Belize" 0.2 20 2 3082091305.458
403 "Disk" "Lake Charles" 0.2 20 2 3076652722.17444
404 "Ellipsoid" "Lake Charles" 0.2 20 2 3161819482.94171
405 "Disk" "McMinnville" 0.2 20 2 3772494483.09018
406 "Ellipsoid" "McMinnville" 0.2 20 2 3905364628.33029
407 "Disk" "Lindenberg" 0.2 20 2 3438538896.86714
408 "Ellipsoid" "Lindenberg" 0.2 20 2 3581351982.98095
