"ExNum" "CrownShape" "WeatherStation" "CrownTransmissibility" "ForestGapSize" "PlotID" "CentroidX" "CentroidY"
175 "Disk" "McMinnville" 0.1 20 1 1.80874736431696 4.28694281244912
176 "Ellipsoid" "McMinnville" 0.1 20 1 1.56065803924152 3.62671220810019
177 "Disk" "Lindenberg" 0.1 20 1 1.81082399803882 5.10201266648415
178 "Ellipsoid" "Lindenberg" 0.1 20 1 1.45411017031815 4.55573701886373
179 "Disk" "Croker river" 0.1 20 1 1.18852365308968 5.38175971056872
180 "Ellipsoid" "Croker river" 0.1 20 1 0.798290529058456 5.23127807965434
181 "Disk" "Phillip SW Belize" 0.05 20 1 2.05767059097168 0.496784301092941
182 "Ellipsoid" "Phillip SW Belize" 0.05 20 1 2.07222669318507 0.661902499214179
183 "Disk" "Lake Charles" 0.05 20 1 2.06272174291336 2.31003256253679
184 "Ellipsoid" "Lake Charles" 0.05 20 1 1.95621034799399 2.11350945351589
185 "Disk" "McMinnville" 0.05 20 1 1.94350650577925 4.60051497520076
186 "Ellipsoid" "McMinnville" 0.05 20 1 1.64269902782211 3.88080583656997
187 "Disk" "Lindenberg" 0.05 20 1 1.94868822802217 5.46806905014863
188 "Ellipsoid" "Lindenberg" 0.05 20 1 1.52200768597504 4.87630627283205
189 "Disk" "Croker river" 0.05 20 1 1.30759845522922 5.80260898696603
190 "Ellipsoid" "Croker river" 0.05 20 1 0.828199312205879 5.61846425148636
191 "Disk" "Phillip SW Belize" 0 20 1 2.21592054087358 0.536198818470365
192 "Ellipsoid" "Phillip SW Belize" 0 20 1 2.20179986383559 0.703950430819469
193 "Disk" "Lake Charles" 0 20 1 2.2103232990208 2.49205431083995
194 "Ellipsoid" "Lake Charles" 0 20 1 2.071233147174 2.2591268404919
195 "Disk" "McMinnville" 0 20 1 2.08256727289464 4.92076466194406
196 "Ellipsoid" "McMinnville" 0 20 1 1.72268025506078 4.13670078196087
197 "Disk" "Lindenberg" 0 20 1 2.091446626635 5.8415655091558
198 "Ellipsoid" "Lindenberg" 0 20 1 1.58675097173696 5.20039854428441
199 "Disk" "Croker river" 0 20 1 1.43612322510835 6.2386730443961
200 "Ellipsoid" "Croker river" 0 20 1 0.855800040980876 6.01504074558505
201 "Disk" "Phillip SW Belize" 0.2 25 1 1.09563206168563 -0.687129186433864
202 "Ellipsoid" "Phillip SW Belize" 0.2 25 1 1.10200199316765 -0.656436766772266
203 "Disk" "Lake Charles" 0.2 25 1 1.02364198933461 1.36212787211156
204 "Ellipsoid" "Lake Charles" 0.2 25 1 0.989921231755437 0.964934862219693
205 "Disk" "McMinnville" 0.2 25 1 0.929462122499979 4.07109367963551
206 "Ellipsoid" "McMinnville" 0.2 25 1 0.820738584263506 3.04896160976512
207 "Disk" "Lindenberg" 0.2 25 1 0.969759561877561 5.23656965657026
208 "Ellipsoid" "Lindenberg" 0.2 25 1 0.765873386426424 4.1682670085685
209 "Disk" "Croker river" 0.2 25 1 0.795408257873763 6.12718634757171
210 "Ellipsoid" "Croker river" 0.2 25 1 0.417025923203392 5.46128386393693
211 "Disk" "Phillip SW Belize" 0.15 25 1 1.15452974282377 -0.751054436201307
212 "Ellipsoid" "Phillip SW Belize" 0.15 25 1 1.14913178868171 -0.711860142240781
213 "Disk" "Lake Charles" 0.15 25 1 1.06206484971542 1.45889898509958
214 "Ellipsoid" "Lake Charles" 0.15 25 1 1.02190615255492 1.02621812829569
215 "Disk" "McMinnville" 0.15 25 1 0.962433345135223 4.36079647735246
216 "Ellipsoid" "McMinnville" 0.15 25 1 0.834274945947901 3.25311784639131
217 "Disk" "Lindenberg" 0.15 25 1 1.01186744628565 5.61562215605407
218 "Ellipsoid" "Lindenberg" 0.15 25 1 0.773097637336442 4.45329837025727
219 "Disk" "Croker river" 0.15 25 1 0.866646626100645 6.64622149354145
220 "Ellipsoid" "Croker river" 0.15 25 1 0.414947126963882 5.87698398656199
221 "Disk" "Phillip SW Belize" 0.1 25 1 1.21055961168261 -0.815667951415291
222 "Ellipsoid" "Phillip SW Belize" 0.1 25 1 1.19233585010069 -0.768507112247386
223 "Disk" "Lake Charles" 0.1 25 1 1.09490831785197 1.55704888943124
224 "Ellipsoid" "Lake Charles" 0.1 25 1 1.04882956434352 1.08645556978118
225 "Disk" "McMinnville" 0.1 25 1 0.989597961559525 4.65038006148395
226 "Ellipsoid" "McMinnville" 0.1 25 1 0.841405113589097 3.45500938181482
227 "Disk" "Lindenberg" 0.1 25 1 1.04927273072703 5.99536354368804
228 "Ellipsoid" "Lindenberg" 0.1 25 1 0.7736045977856 4.73627228927579
229 "Disk" "Croker river" 0.1 25 1 0.940663490470946 7.18000703015113
230 "Ellipsoid" "Croker river" 0.1 25 1 0.408450837390438 6.29750177155612
231 "Disk" "Phillip SW Belize" 0.05 25 1 1.26351965204449 -0.880544679584656
232 "Ellipsoid" "Phillip SW Belize" 0.05 25 1 1.23153142796514 -0.826290799301856
233 "Disk" "Lake Charles" 0.05 25 1 1.12194850494389 1.65633165516712
234 "Ellipsoid" "Lake Charles" 0.05 25 1 1.07062105262488 1.14527325550353
235 "Disk" "McMinnville" 0.05 25 1 1.01069230557116 4.93853716158736
236 "Ellipsoid" "McMinnville" 0.05 25 1 0.842013353097715 3.6536962840712
237 "Disk" "Lindenberg" 0.05 25 1 1.08175995489806 6.37420270301812
238 "Ellipsoid" "Lindenberg" 0.05 25 1 0.767290571448423 5.01601114072882
239 "Disk" "Croker river" 0.05 25 1 1.01758616920093 7.72761897726734
240 "Ellipsoid" "Croker river" 0.05 25 1 0.39746574849175 6.72166873717331
241 "Disk" "Phillip SW Belize" 0 25 1 1.31326030297901 -0.94525161998309
242 "Ellipsoid" "Phillip SW Belize" 0 25 1 1.26669150281075 -0.885137271347358
243 "Disk" "Lake Charles" 0 25 1 1.14306858053572 1.75641978098785
244 "Ellipsoid" "Lake Charles" 0 25 1 1.08727693589823 1.20225551513279
245 "Disk" "McMinnville" 0 25 1 1.02556898066348 5.22384199056215
246 "Ellipsoid" "McMinnville" 0 25 1 0.836065049050688 3.84821010190085
247 "Disk" "Lindenberg" 0 25 1 1.1092233498431 6.75042303554049
248 "Ellipsoid" "Lindenberg" 0 25 1 0.754134222752099 5.29130731553261
249 "Disk" "Croker river" 0 25 1 1.09757152026642 8.28793489755302
250 "Ellipsoid" "Croker river" 0 25 1 0.381961060092052 7.14821989677006
251 "Disk" "Phillip SW Belize" 0.2 5 2 0.355302444134413 -0.876975297714899
252 "Ellipsoid" "Phillip SW Belize" 0.2 5 2 0.411366558644769 -1.02838574289443
253 "Disk" "Lake Charles" 0.2 5 2 0.359400062917139 -0.886352440997195
254 "Ellipsoid" "Lake Charles" 0.2 5 2 0.224079133233701 -0.778563239457687
255 "Disk" "McMinnville" 0.2 5 2 0.0144117874112325 -0.632192189431905
256 "Ellipsoid" "McMinnville" 0.2 5 2 -0.0448044998942912 -0.599609986283069
257 "Disk" "Lindenberg" 0.2 5 2 -0.14826349094493 -0.498967673024959
258 "Ellipsoid" "Lindenberg" 0.2 5 2 -0.138880743174407 -0.477856105150518
259 "Disk" "Croker river" 0.2 5 2 -0.620764016870492 0.312538043045761
260 "Ellipsoid" "Croker river" 0.2 5 2 -0.301215624050468 0.116853107310616
261 "Disk" "Phillip SW Belize" 0.15 5 2 0.341018194606238 -0.929011443304405
262 "Ellipsoid" "Phillip SW Belize" 0.15 5 2 0.400326568008863 -1.12177231796109
263 "Disk" "Lake Charles" 0.15 5 2 0.363042698557056 -0.97965761013122
264 "Ellipsoid" "Lake Charles" 0.15 5 2 0.209374395531119 -0.873833745797576
265 "Disk" "McMinnville" 0.15 5 2 0.0142874243327666 -0.73138615227732
266 "Ellipsoid" "McMinnville" 0.15 5 2 -0.0687106245469029 -0.694936208506066
267 "Disk" "Lindenberg" 0.15 5 2 -0.16170625330313 -0.587390242838896
268 "Ellipsoid" "Lindenberg" 0.15 5 2 -0.168467277701487 -0.560615036730175
269 "Disk" "Croker river" 0.15 5 2 -0.688672306521605 0.313090573563955
270 "Ellipsoid" "Croker river" 0.15 5 2 -0.332185201855206 0.115233997344464
271 "Disk" "Phillip SW Belize" 0.1 5 2 0.313557577742603 -0.974133777347723
272 "Ellipsoid" "Phillip SW Belize" 0.1 5 2 0.377464633999613 -1.2175945827245
273 "Disk" "Lake Charles" 0.1 5 2 0.359563796201216 -1.07680439404622
274 "Ellipsoid" "Lake Charles" 0.1 5 2 0.186437136208801 -0.976345860447573
275 "Disk" "McMinnville" 0.1 5 2 0.0149603428330789 -0.838344991716056
276 "Ellipsoid" "McMinnville" 0.1 5 2 -0.097534805674405 -0.799032457731886
277 "Disk" "Lindenberg" 0.1 5 2 -0.174783299038065 -0.68288119153357
278 "Ellipsoid" "Lindenberg" 0.1 5 2 -0.202556260258277 -0.650734968218943
279 "Disk" "Croker river" 0.1 5 2 -0.763330863128951 0.31021073759161
280 "Ellipsoid" "Croker river" 0.1 5 2 -0.365385593489658 0.112852141668815
281 "Disk" "Phillip SW Belize" 0.05 5 2 0.269562527049188 -1.009576419791
282 "Ellipsoid" "Phillip SW Belize" 0.05 5 2 0.339937470844892 -1.31510910748782
283 "Disk" "Lake Charles" 0.05 5 2 0.347056370922596 -1.17698309127187
284 "Ellipsoid" "Lake Charles" 0.05 5 2 0.153503088821102 -1.08633473426375
285 "Disk" "McMinnville" 0.05 5 2 0.0167966830213451 -0.952657713612115
286 "Ellipsoid" "McMinnville" 0.05 5 2 -0.132061654623165 -0.912169406799003
287 "Disk" "Lindenberg" 0.05 5 2 -0.187071732306995 -0.784943451801838
288 "Ellipsoid" "Lindenberg" 0.05 5 2 -0.241753406602246 -0.748280973747243
289 "Disk" "Croker river" 0.05 5 2 -0.845776570283896 0.303721028727622
290 "Ellipsoid" "Croker river" 0.05 5 2 -0.401022840008698 0.109796876763704
291 "Disk" "Phillip SW Belize" 0 5 2 0.204846701965813 -1.03178080646347
292 "Ellipsoid" "Phillip SW Belize" 0 5 2 0.284206457090906 -1.41327631973027
293 "Disk" "Lake Charles" 0 5 2 0.323136505044635 -1.27898626843322
294 "Ellipsoid" "Lake Charles" 0 5 2 0.108405784842846 -1.20395927533108
