"ExNum" "CrownShape" "WeatherStation" "CrownTransmissibility" "ForestGapSize" "PlotID" "TotalFull"
293 "Disk" "Lake Charles" 0 5 2 1957838
294 "Ellipsoid" "Lake Charles" 0 5 2 585664
295 "Disk" "McMinnville" 0 5 2 2249763
296 "Ellipsoid" "McMinnville" 0 5 2 447021
297 "Disk" "Lindenberg" 0 5 2 2291599
298 "Ellipsoid" "Lindenberg" 0 5 2 355721
299 "Disk" "Croker river" 0 5 2 3145266
300 "Ellipsoid" "Croker river" 0 5 2 115267
301 "Disk" "Phillip SW Belize" 0.2 10 2 1970609
302 "Ellipsoid" "Phillip SW Belize" 0.2 10 2 715184
303 "Disk" "Lake Charles" 0.2 10 2 2098693
304 "Ellipsoid" "Lake Charles" 0.2 10 2 683169
305 "Disk" "McMinnville" 0.2 10 2 2386936
306 "Ellipsoid" "McMinnville" 0.2 10 2 530869
307 "Disk" "Lindenberg" 0.2 10 2 2427990
308 "Ellipsoid" "Lindenberg" 0.2 10 2 427605
309 "Disk" "Croker river" 0.2 10 2 3260725
310 "Ellipsoid" "Croker river" 0.2 10 2 150963
311 "Disk" "Phillip SW Belize" 0.15 10 2 1970609
312 "Ellipsoid" "Phillip SW Belize" 0.15 10 2 715184
313 "Disk" "Lake Charles" 0.15 10 2 2098693
314 "Ellipsoid" "Lake Charles" 0.15 10 2 683169
315 "Disk" "McMinnville" 0.15 10 2 2386936
316 "Ellipsoid" "McMinnville" 0.15 10 2 530869
317 "Disk" "Lindenberg" 0.15 10 2 2427990
318 "Ellipsoid" "Lindenberg" 0.15 10 2 427605
319 "Disk" "Croker river" 0.15 10 2 3260725
320 "Ellipsoid" "Croker river" 0.15 10 2 150963
321 "Disk" "Phillip SW Belize" 0.1 10 2 1970609
322 "Ellipsoid" "Phillip SW Belize" 0.1 10 2 715184
323 "Disk" "Lake Charles" 0.1 10 2 2098693
324 "Ellipsoid" "Lake Charles" 0.1 10 2 683169
325 "Disk" "McMinnville" 0.1 10 2 2386936
326 "Ellipsoid" "McMinnville" 0.1 10 2 530869
327 "Disk" "Lindenberg" 0.1 10 2 2427990
328 "Ellipsoid" "Lindenberg" 0.1 10 2 427605
329 "Disk" "Croker river" 0.1 10 2 3260725
330 "Ellipsoid" "Croker river" 0.1 10 2 150963
331 "Disk" "Phillip SW Belize" 0.05 10 2 1970609
332 "Ellipsoid" "Phillip SW Belize" 0.05 10 2 715184
333 "Disk" "Lake Charles" 0.05 10 2 2098693
334 "Ellipsoid" "Lake Charles" 0.05 10 2 683169
335 "Disk" "McMinnville" 0.05 10 2 2386936
336 "Ellipsoid" "McMinnville" 0.05 10 2 530869
337 "Disk" "Lindenberg" 0.05 10 2 2427990
338 "Ellipsoid" "Lindenberg" 0.05 10 2 427605
339 "Disk" "Croker river" 0.05 10 2 3260725
340 "Ellipsoid" "Croker river" 0.05 10 2 150963
341 "Disk" "Phillip SW Belize" 0 10 2 1970609
342 "Ellipsoid" "Phillip SW Belize" 0 10 2 715184
343 "Disk" "Lake Charles" 0 10 2 2098693
344 "Ellipsoid" "Lake Charles" 0 10 2 683169
345 "Disk" "McMinnville" 0 10 2 2386936
346 "Ellipsoid" "McMinnville" 0 10 2 530869
347 "Disk" "Lindenberg" 0 10 2 2427990
348 "Ellipsoid" "Lindenberg" 0 10 2 427605
349 "Disk" "Croker river" 0 10 2 3260725
350 "Ellipsoid" "Croker river" 0 10 2 150963
351 "Disk" "Phillip SW Belize" 0.2 15 2 2334943
352 "Ellipsoid" "Phillip SW Belize" 0.2 15 2 1079320
353 "Disk" "Lake Charles" 0.2 15 2 2485286
354 "Ellipsoid" "Lake Charles" 0.2 15 2 1066478
355 "Disk" "McMinnville" 0.2 15 2 2788247
356 "Ellipsoid" "McMinnville" 0.2 15 2 929388
357 "Disk" "Lindenberg" 0.2 15 2 2825284
358 "Ellipsoid" "Lindenberg" 0.2 15 2 824925
359 "Disk" "Croker river" 0.2 15 2 3582637
360 "Ellipsoid" "Croker river" 0.2 15 2 471521
361 "Disk" "Phillip SW Belize" 0.15 15 2 2334943
362 "Ellipsoid" "Phillip SW Belize" 0.15 15 2 1079320
363 "Disk" "Lake Charles" 0.15 15 2 2485286
364 "Ellipsoid" "Lake Charles" 0.15 15 2 1066478
365 "Disk" "McMinnville" 0.15 15 2 2788247
366 "Ellipsoid" "McMinnville" 0.15 15 2 929388
367 "Disk" "Lindenberg" 0.15 15 2 2825284
368 "Ellipsoid" "Lindenberg" 0.15 15 2 824925
369 "Disk" "Croker river" 0.15 15 2 3582637
370 "Ellipsoid" "Croker river" 0.15 15 2 471521
371 "Disk" "Phillip SW Belize" 0.1 15 2 2334943
372 "Ellipsoid" "Phillip SW Belize" 0.1 15 2 1079320
373 "Disk" "Lake Charles" 0.1 15 2 2485286
374 "Ellipsoid" "Lake Charles" 0.1 15 2 1066478
375 "Disk" "McMinnville" 0.1 15 2 2788247
376 "Ellipsoid" "McMinnville" 0.1 15 2 929388
377 "Disk" "Lindenberg" 0.1 15 2 2825284
378 "Ellipsoid" "Lindenberg" 0.1 15 2 824925
379 "Disk" "Croker river" 0.1 15 2 3582637
380 "Ellipsoid" "Croker river" 0.1 15 2 471521
381 "Disk" "Phillip SW Belize" 0.05 15 2 2334943
382 "Ellipsoid" "Phillip SW Belize" 0.05 15 2 1079320
383 "Disk" "Lake Charles" 0.05 15 2 2485286
384 "Ellipsoid" "Lake Charles" 0.05 15 2 1066478
385 "Disk" "McMinnville" 0.05 15 2 2788247
386 "Ellipsoid" "McMinnville" 0.05 15 2 929388
387 "Disk" "Lindenberg" 0.05 15 2 2825284
388 "Ellipsoid" "Lindenberg" 0.05 15 2 824925
389 "Disk" "Croker river" 0.05 15 2 3582637
390 "Ellipsoid" "Croker river" 0.05 15 2 471521
391 "Disk" "Phillip SW Belize" 0 15 2 2334943
392 "Ellipsoid" "Phillip SW Belize" 0 15 2 1079320
393 "Disk" "Lake Charles" 0 15 2 2485286
394 "Ellipsoid" "Lake Charles" 0 15 2 1066478
395 "Disk" "McMinnville" 0 15 2 2788247
396 "Ellipsoid" "McMinnville" 0 15 2 929388
397 "Disk" "Lindenberg" 0 15 2 2825284
398 "Ellipsoid" "Lindenberg" 0 15 2 824925
399 "Disk" "Croker river" 0 15 2 3582637
400 "Ellipsoid" "Croker river" 0 15 2 471521
401 "Disk" "Phillip SW Belize" 0.2 20 2 3221059
402 "Ellipsoid" "Phillip SW Belize" 0.2 20 2 2108341
403 "Disk" "Lake Charles" 0.2 20 2 3386949
404 "Ellipsoid" "Lake Charles" 0.2 20 2 2133912
405 "Disk" "McMinnville" 0.2 20 2 3647360
406 "Ellipsoid" "McMinnville" 0.2 20 2 1959329
407 "Disk" "Lindenberg" 0.2 20 2 3638985
408 "Ellipsoid" "Lindenberg" 0.2 20 2 1809880
409 "Disk" "Croker river" 0.2 20 2 4175098
410 "Ellipsoid" "Croker river" 0.2 20 2 1246674
411 "Disk" "Phillip SW Belize" 0.15 20 2 3221059
412 "Ellipsoid" "Phillip SW Belize" 0.15 20 2 2108341
413 "Disk" "Lake Charles" 0.15 20 2 3386949
414 "Ellipsoid" "Lake Charles" 0.15 20 2 2133912
415 "Disk" "McMinnville" 0.15 20 2 3647360
416 "Ellipsoid" "McMinnville" 0.15 20 2 1959329
417 "Disk" "Lindenberg" 0.15 20 2 3638985
418 "Ellipsoid" "Lindenberg" 0.15 20 2 1809880
419 "Disk" "Croker river" 0.15 20 2 4175098
420 "Ellipsoid" "Croker river" 0.15 20 2 1246674
421 "Disk" "Phillip SW Belize" 0.1 20 2 3221059
422 "Ellipsoid" "Phillip SW Belize" 0.1 20 2 2108341
423 "Disk" "Lake Charles" 0.1 20 2 3386949
424 "Ellipsoid" "Lake Charles" 0.1 20 2 2133912
425 "Disk" "McMinnville" 0.1 20 2 3647360
426 "Ellipsoid" "McMinnville" 0.1 20 2 1959329
427 "Disk" "Lindenberg" 0.1 20 2 3638985
428 "Ellipsoid" "Lindenberg" 0.1 20 2 1809880
429 "Disk" "Croker river" 0.1 20 2 4175098
430 "Ellipsoid" "Croker river" 0.1 20 2 1246674
431 "Disk" "Phillip SW Belize" 0.05 20 2 3221059
432 "Ellipsoid" "Phillip SW Belize" 0.05 20 2 2108341
433 "Disk" "Lake Charles" 0.05 20 2 3386949
434 "Ellipsoid" "Lake Charles" 0.05 20 2 2133912
435 "Disk" "McMinnville" 0.05 20 2 3647360
436 "Ellipsoid" "McMinnville" 0.05 20 2 1959329
437 "Disk" "Lindenberg" 0.05 20 2 3638985
438 "Ellipsoid" "Lindenberg" 0.05 20 2 1809880
439 "Disk" "Croker river" 0.05 20 2 4175098
440 "Ellipsoid" "Croker river" 0.05 20 2 1246674
441 "Disk" "Phillip SW Belize" 0 20 2 3221059
442 "Ellipsoid" "Phillip SW Belize" 0 20 2 2108341
443 "Disk" "Lake Charles" 0 20 2 3386949
444 "Ellipsoid" "Lake Charles" 0 20 2 2133912
445 "Disk" "McMinnville" 0 20 2 3647360
446 "Ellipsoid" "McMinnville" 0 20 2 1959329
447 "Disk" "Lindenberg" 0 20 2 3638985
448 "Ellipsoid" "Lindenberg" 0 20 2 1809880
449 "Disk" "Croker river" 0 20 2 4175098
450 "Ellipsoid" "Croker river" 0 20 2 1246674
451 "Disk" "Phillip SW Belize" 0.2 25 2 3782353
452 "Ellipsoid" "Phillip SW Belize" 0.2 25 2 2711498
453 "Disk" "Lake Charles" 0.2 25 2 3949616
454 "Ellipsoid" "Lake Charles" 0.2 25 2 2750111
455 "Disk" "McMinnville" 0.2 25 2 4195047
456 "Ellipsoid" "McMinnville" 0.2 25 2 2607406
457 "Disk" "Lindenberg" 0.2 25 2 4164222
458 "Ellipsoid" "Lindenberg" 0.2 25 2 2469711
459 "Disk" "Croker river" 0.2 25 2 4561162
460 "Ellipsoid" "Croker river" 0.2 25 2 1864734
461 "Disk" "Phillip SW Belize" 0.15 25 2 3782353
462 "Ellipsoid" "Phillip SW Belize" 0.15 25 2 2711498
463 "Disk" "Lake Charles" 0.15 25 2 3949616
464 "Ellipsoid" "Lake Charles" 0.15 25 2 2750111
465 "Disk" "McMinnville" 0.15 25 2 4195047
466 "Ellipsoid" "McMinnville" 0.15 25 2 2607406
467 "Disk" "Lindenberg" 0.15 25 2 4164222
