"ExNum" "CrownShape" "WeatherStation" "CrownTransmissibility" "ForestGapSize" "PlotID" "ShadeTolerance" "Proportion"
73 "Disk" "Lake Charles" 0.1 10 1 "intermediate" 0.471594456236734
73 "Disk" "Lake Charles" 0.1 10 1 "low" 0.15482582095143
74 "Ellipsoid" "Lake Charles" 0.1 10 1 "high" 0.366962167561493
74 "Ellipsoid" "Lake Charles" 0.1 10 1 "intermediate" 0.448870021226121
74 "Ellipsoid" "Lake Charles" 0.1 10 1 "low" 0.184167811212386
75 "Disk" "McMinnville" 0.1 10 1 "high" 0.318266949681608
75 "Disk" "McMinnville" 0.1 10 1 "intermediate" 0.553752028967412
75 "Disk" "McMinnville" 0.1 10 1 "low" 0.12798102135098
76 "Ellipsoid" "McMinnville" 0.1 10 1 "high" 0.312148832563366
76 "Ellipsoid" "McMinnville" 0.1 10 1 "intermediate" 0.498439255837183
76 "Ellipsoid" "McMinnville" 0.1 10 1 "low" 0.189411911599451
77 "Disk" "Lindenberg" 0.1 10 1 "high" 0.330378324385067
77 "Disk" "Lindenberg" 0.1 10 1 "intermediate" 0.546884754651018
77 "Disk" "Lindenberg" 0.1 10 1 "low" 0.122736920963916
78 "Ellipsoid" "Lindenberg" 0.1 10 1 "high" 0.313022849294544
78 "Ellipsoid" "Lindenberg" 0.1 10 1 "intermediate" 0.499812710700462
78 "Ellipsoid" "Lindenberg" 0.1 10 1 "low" 0.187164440004994
79 "Disk" "Croker river" 0.1 10 1 "high" 0.060556873517293
79 "Disk" "Croker river" 0.1 10 1 "intermediate" 0.83231364714696
79 "Disk" "Croker river" 0.1 10 1 "low" 0.107129479335747
80 "Ellipsoid" "Croker river" 0.1 10 1 "high" 0.00262205019353228
80 "Ellipsoid" "Croker river" 0.1 10 1 "intermediate" 0.817205643650893
80 "Ellipsoid" "Croker river" 0.1 10 1 "low" 0.180172306155575
81 "Disk" "Phillip SW Belize" 0.05 10 1 "high" 0.553502309901361
81 "Disk" "Phillip SW Belize" 0.05 10 1 "intermediate" 0.324759645398926
81 "Disk" "Phillip SW Belize" 0.05 10 1 "low" 0.121738044699713
82 "Ellipsoid" "Phillip SW Belize" 0.05 10 1 "high" 0.527032088899988
82 "Ellipsoid" "Phillip SW Belize" 0.05 10 1 "intermediate" 0.330877762517168
82 "Ellipsoid" "Phillip SW Belize" 0.05 10 1 "low" 0.142090148582844
83 "Disk" "Lake Charles" 0.05 10 1 "high" 0.517417904857036
83 "Disk" "Lake Charles" 0.05 10 1 "intermediate" 0.373954301410913
83 "Disk" "Lake Charles" 0.05 10 1 "low" 0.108627793732051
84 "Ellipsoid" "Lake Charles" 0.05 10 1 "high" 0.501560744162817
84 "Ellipsoid" "Lake Charles" 0.05 10 1 "intermediate" 0.353851916593832
84 "Ellipsoid" "Lake Charles" 0.05 10 1 "low" 0.144587339243351
85 "Disk" "McMinnville" 0.05 10 1 "high" 0.465226620052441
85 "Disk" "McMinnville" 0.05 10 1 "intermediate" 0.449619178424273
85 "Disk" "McMinnville" 0.05 10 1 "low" 0.0851542015232863
86 "Ellipsoid" "McMinnville" 0.05 10 1 "high" 0.44487451616931
86 "Ellipsoid" "McMinnville" 0.05 10 1 "intermediate" 0.40729179672868
86 "Ellipsoid" "McMinnville" 0.05 10 1 "low" 0.14783368710201
87 "Disk" "Lindenberg" 0.05 10 1 "high" 0.466849793981771
87 "Disk" "Lindenberg" 0.05 10 1 "intermediate" 0.461355974528655
87 "Disk" "Lindenberg" 0.05 10 1 "low" 0.0717942314895742
88 "Ellipsoid" "Lindenberg" 0.05 10 1 "high" 0.443750780372081
88 "Ellipsoid" "Lindenberg" 0.05 10 1 "intermediate" 0.413909351979024
88 "Ellipsoid" "Lindenberg" 0.05 10 1 "low" 0.142339867648895
89 "Disk" "Croker river" 0.05 10 1 "high" 0.264452490947684
89 "Disk" "Croker river" 0.05 10 1 "intermediate" 0.684854538644025
89 "Disk" "Croker river" 0.05 10 1 "low" 0.0506929704082907
90 "Ellipsoid" "Croker river" 0.05 10 1 "high" 0.189411911599451
90 "Ellipsoid" "Croker river" 0.05 10 1 "intermediate" 0.710575602447247
90 "Ellipsoid" "Croker river" 0.05 10 1 "low" 0.100012485953303
91 "Disk" "Phillip SW Belize" 0 10 1 "high" 0.658259458109627
91 "Disk" "Phillip SW Belize" 0 10 1 "intermediate" 0.25758521663129
91 "Disk" "Phillip SW Belize" 0 10 1 "low" 0.0841553252590835
92 "Ellipsoid" "Phillip SW Belize" 0 10 1 "high" 0.611936571357223
92 "Ellipsoid" "Phillip SW Belize" 0 10 1 "intermediate" 0.275689848919965
92 "Ellipsoid" "Phillip SW Belize" 0 10 1 "low" 0.112373579722812
93 "Disk" "Lake Charles" 0 10 1 "high" 0.633537270570608
93 "Disk" "Lake Charles" 0 10 1 "intermediate" 0.285304032962917
93 "Disk" "Lake Charles" 0 10 1 "low" 0.0811586964664752
94 "Ellipsoid" "Lake Charles" 0 10 1 "high" 0.604944437507804
94 "Ellipsoid" "Lake Charles" 0 10 1 "intermediate" 0.283680859033587
94 "Ellipsoid" "Lake Charles" 0 10 1 "low" 0.111374703458609
95 "Disk" "McMinnville" 0 10 1 "high" 0.580596828567861
95 "Disk" "McMinnville" 0 10 1 "intermediate" 0.36034461231115
95 "Disk" "McMinnville" 0 10 1 "low" 0.0590585591209889
96 "Ellipsoid" "McMinnville" 0 10 1 "high" 0.535772256211762
96 "Ellipsoid" "McMinnville" 0 10 1 "intermediate" 0.364464976900986
96 "Ellipsoid" "McMinnville" 0 10 1 "low" 0.0997627668872518
97 "Disk" "Lindenberg" 0 10 1 "high" 0.567611437133225
97 "Disk" "Lindenberg" 0 10 1 "intermediate" 0.38369334498689
97 "Disk" "Lindenberg" 0 10 1 "low" 0.0486952178798851
98 "Ellipsoid" "Lindenberg" 0 10 1 "high" 0.530153577225621
98 "Ellipsoid" "Lindenberg" 0 10 1 "intermediate" 0.380946435260332
98 "Ellipsoid" "Lindenberg" 0 10 1 "low" 0.0888999875140467
99 "Disk" "Croker river" 0 10 1 "high" 0.402172555874641
99 "Disk" "Croker river" 0 10 1 "intermediate" 0.576226744911974
99 "Disk" "Croker river" 0 10 1 "low" 0.0216006992133849
100 "Ellipsoid" "Croker river" 0 10 1 "high" 0.408790111124984
100 "Ellipsoid" "Croker river" 0 10 1 "intermediate" 0.548632788113372
100 "Ellipsoid" "Croker river" 0 10 1 "low" 0.0425771007616432
101 "Disk" "Phillip SW Belize" 0.2 15 1 "high" 0.0525658634036709
101 "Disk" "Phillip SW Belize" 0.2 15 1 "intermediate" 0.568984891996504
101 "Disk" "Phillip SW Belize" 0.2 15 1 "low" 0.378449244599825
102 "Ellipsoid" "Phillip SW Belize" 0.2 15 1 "high" 0.0604320139842677
102 "Ellipsoid" "Phillip SW Belize" 0.2 15 1 "intermediate" 0.551005119240854
102 "Ellipsoid" "Phillip SW Belize" 0.2 15 1 "low" 0.388562866774878
103 "Disk" "Lake Charles" 0.2 15 1 "high" 0.0520664252715695
103 "Disk" "Lake Charles" 0.2 15 1 "intermediate" 0.561618179548009
103 "Disk" "Lake Charles" 0.2 15 1 "low" 0.386315395180422
104 "Ellipsoid" "Lake Charles" 0.2 15 1 "high" 0.059807716319141
104 "Ellipsoid" "Lake Charles" 0.2 15 1 "intermediate" 0.527156948433013
104 "Ellipsoid" "Lake Charles" 0.2 15 1 "low" 0.413035335247846
105 "Disk" "McMinnville" 0.2 15 1 "high" 0.0342115120489449
105 "Disk" "McMinnville" 0.2 15 1 "intermediate" 0.521787988512923
105 "Disk" "McMinnville" 0.2 15 1 "low" 0.444000499438132
106 "Ellipsoid" "McMinnville" 0.2 15 1 "high" 0
106 "Ellipsoid" "McMinnville" 0.2 15 1 "intermediate" 0.528904981895368
106 "Ellipsoid" "McMinnville" 0.2 15 1 "low" 0.471095018104632
107 "Disk" "Lindenberg" 0.2 15 1 "high" 0.0144837058309402
107 "Disk" "Lindenberg" 0.2 15 1 "intermediate" 0.537145711075041
107 "Disk" "Lindenberg" 0.2 15 1 "low" 0.448370583094019
108 "Ellipsoid" "Lindenberg" 0.2 15 1 "high" 0
108 "Ellipsoid" "Lindenberg" 0.2 15 1 "intermediate" 0.534024222749407
108 "Ellipsoid" "Lindenberg" 0.2 15 1 "low" 0.465975777250593
109 "Disk" "Croker river" 0.2 15 1 "high" 0
109 "Disk" "Croker river" 0.2 15 1 "intermediate" 0.48645274066675
109 "Disk" "Croker river" 0.2 15 1 "low" 0.51354725933325
110 "Ellipsoid" "Croker river" 0.2 15 1 "high" 0
110 "Ellipsoid" "Croker river" 0.2 15 1 "intermediate" 0.482457235609939
110 "Ellipsoid" "Croker river" 0.2 15 1 "low" 0.517542764390061
111 "Disk" "Phillip SW Belize" 0.15 15 1 "high" 0.178549132226245
111 "Disk" "Phillip SW Belize" 0.15 15 1 "intermediate" 0.520289674116619
