pxcor,pycor,Latitude,CrownShape,CrownTransmissibility,Radiation
"-200",66,52.217,Disk,5,0
"-200",176,52.217,Disk,5,0
"-200",-38,52.217,Disk,5,0
"-200",-56,52.217,Disk,5,0
"-200",-90,52.217,Disk,5,0
"-200",-10,52.217,Disk,5,0
"-200",17,52.217,Disk,5,0
"-200",-33,52.217,Disk,5,0
"-200",-131,52.217,Disk,5,0
"-200",-39,52.217,Disk,5,0
"-200",-190,52.217,Disk,5,0
"-200",10,52.217,Disk,5,0
"-200",-58,52.217,Disk,5,0
"-200",153,52.217,Disk,5,0
"-200",-27,52.217,Disk,5,0
"-200",64,52.217,Disk,5,0
"-200",-177,52.217,Disk,5,0
"-200",-95,52.217,Disk,5,0
"-200",2,52.217,Disk,5,0
"-200",58,52.217,Disk,5,0
"-200",-174,52.217,Disk,5,0
"-200",-196,52.217,Disk,5,0
"-200",-159,52.217,Disk,5,0
"-200",24,52.217,Disk,5,0
"-200",38,52.217,Disk,5,0
"-200",-185,52.217,Disk,5,0
"-200",16,52.217,Disk,5,0
"-200",-199,52.217,Disk,5,0
"-200",-112,52.217,Disk,5,0
"-200",188,52.217,Disk,5,0
"-200",-4,52.217,Disk,5,0
"-200",-161,52.217,Disk,5,0
"-200",124,52.217,Disk,5,0
"-200",170,52.217,Disk,5,0
"-200",-1,52.217,Disk,5,0
"-200",-103,52.217,Disk,5,0
"-200",-165,52.217,Disk,5,0
"-200",-191,52.217,Disk,5,0
"-200",-28,52.217,Disk,5,0
"-200",47,52.217,Disk,5,0
"-200",118,52.217,Disk,5,0
"-200",-172,52.217,Disk,5,0
"-200",-144,52.217,Disk,5,0
"-200",142,52.217,Disk,5,0
"-200",123,52.217,Disk,5,0
"-200",-36,52.217,Disk,5,0
"-200",-63,52.217,Disk,5,0
"-200",84,52.217,Disk,5,0
"-200",-119,52.217,Disk,5,0
"-200",46,52.217,Disk,5,0
"-200",-134,52.217,Disk,5,0
"-200",144,52.217,Disk,5,0
"-200",-59,52.217,Disk,5,0
"-200",-100,52.217,Disk,5,0
"-200",-48,52.217,Disk,5,0
"-200",-67,52.217,Disk,5,0
"-200",-156,52.217,Disk,5,0
"-200",-180,52.217,Disk,5,0
"-200",-98,52.217,Disk,5,0
"-200",-150,52.217,Disk,5,0
"-200",-149,52.217,Disk,5,0
"-200",-99,52.217,Disk,5,0
"-200",-137,52.217,Disk,5,0
"-200",-106,52.217,Disk,5,0
"-200",62,52.217,Disk,5,0
"-200",54,52.217,Disk,5,0
"-200",-169,52.217,Disk,5,0
"-200",-148,52.217,Disk,5,0
"-200",-176,52.217,Disk,5,0
"-200",-77,52.217,Disk,5,0
"-200",113,52.217,Disk,5,0
"-200",71,52.217,Disk,5,0
"-200",-18,52.217,Disk,5,0
"-200",-81,52.217,Disk,5,0
"-200",12,52.217,Disk,5,0
"-200",35,52.217,Disk,5,0
"-200",-74,52.217,Disk,5,0
"-200",-94,52.217,Disk,5,0
"-200",-105,52.217,Disk,5,0
"-200",-92,52.217,Disk,5,0
"-200",-78,52.217,Disk,5,0
"-200",-37,52.217,Disk,5,0
"-200",-73,52.217,Disk,5,0
"-200",186,52.217,Disk,5,0
"-200",-62,52.217,Disk,5,0
"-200",-91,52.217,Disk,5,0
"-200",41,52.217,Disk,5,0
"-200",-66,52.217,Disk,5,0
"-199",65,52.217,Disk,5,0
"-199",48,52.217,Disk,5,0
"-199",-132,52.217,Disk,5,0
"-199",-158,52.217,Disk,5,0
"-199",-176,52.217,Disk,5,0
"-199",-8,52.217,Disk,5,0
"-199",-167,52.217,Disk,5,0
"-199",-114,52.217,Disk,5,0
"-199",-2,52.217,Disk,5,0
"-199",-32,52.217,Disk,5,0
"-199",173,52.217,Disk,5,0
"-199",35,52.217,Disk,5,0
"-199",149,52.217,Disk,5,0
"-199",-92,52.217,Disk,5,0
"-199",-26,52.217,Disk,5,0
"-199",-58,52.217,Disk,5,0
"-199",183,52.217,Disk,5,0
"-199",-74,52.217,Disk,5,0
"-199",150,52.217,Disk,5,0
"-199",178,52.217,Disk,5,0
"-199",8,52.217,Disk,5,0
"-199",-116,52.217,Disk,5,0
"-199",-53,52.217,Disk,5,0
"-199",-178,52.217,Disk,5,0
"-199",142,52.217,Disk,5,0
"-199",43,52.217,Disk,5,0
"-199",126,52.217,Disk,5,0
"-199",-106,52.217,Disk,5,0
"-199",151,52.217,Disk,5,0
"-199",101,52.217,Disk,5,0
"-199",31,52.217,Disk,5,0
"-199",-127,52.217,Disk,5,0
"-199",40,52.217,Disk,5,0
"-199",-105,52.217,Disk,5,0
"-199",-36,52.217,Disk,5,0
"-199",-60,52.217,Disk,5,0
"-199",69,52.217,Disk,5,0
"-199",-41,52.217,Disk,5,0
"-199",122,52.217,Disk,5,0
"-199",184,52.217,Disk,5,0
"-199",-162,52.217,Disk,5,0
"-199",73,52.217,Disk,5,0
"-199",156,52.217,Disk,5,0
"-199",154,52.217,Disk,5,0
"-199",-82,52.217,Disk,5,0
"-199",41,52.217,Disk,5,0
"-199",23,52.217,Disk,5,0
"-199",-185,52.217,Disk,5,0
"-199",-148,52.217,Disk,5,0
"-199",1,52.217,Disk,5,0
"-199",170,52.217,Disk,5,0
"-199",172,52.217,Disk,5,0
"-199",-79,52.217,Disk,5,0
"-199",-17,52.217,Disk,5,0
"-199",162,52.217,Disk,5,0
"-199",-55,52.217,Disk,5,0
"-199",99,52.217,Disk,5,0
"-199",-93,52.217,Disk,5,0
"-199",165,52.217,Disk,5,0
"-199",-52,52.217,Disk,5,0
"-199",159,52.217,Disk,5,0
"-199",46,52.217,Disk,5,0
"-199",-192,52.217,Disk,5,0
"-199",-122,52.217,Disk,5,0
"-199",-193,52.217,Disk,5,0
"-199",34,52.217,Disk,5,0
"-199",-191,52.217,Disk,5,0
"-199",-173,52.217,Disk,5,0
"-199",91,52.217,Disk,5,0
"-199",-97,52.217,Disk,5,0
"-199",110,52.217,Disk,5,0
"-199",-69,52.217,Disk,5,0
"-199",-164,52.217,Disk,5,0
"-199",11,52.217,Disk,5,0
"-199",37,52.217,Disk,5,0
"-199",194,52.217,Disk,5,0
"-199",-153,52.217,Disk,5,0
"-199",51,52.217,Disk,5,0
"-199",104,52.217,Disk,5,0
"-199",-40,52.217,Disk,5,0
"-199",-166,52.217,Disk,5,0
"-199",107,52.217,Disk,5,0
"-199",45,52.217,Disk,5,0
"-199",72,52.217,Disk,5,0
"-199",196,52.217,Disk,5,0
"-199",163,52.217,Disk,5,0
"-199",-80,52.217,Disk,5,0
"-199",-147,52.217,Disk,5,0
"-199",-165,52.217,Disk,5,0
"-199",77,52.217,Disk,5,0
"-199",92,52.217,Disk,5,0
"-199",-182,52.217,Disk,5,0
"-199",-175,52.217,Disk,5,0
"-199",49,52.217,Disk,5,0
"-199",19,52.217,Disk,5,0
"-199",-197,52.217,Disk,5,0
"-199",-96,52.217,Disk,5,0
"-199",97,52.217,Disk,5,0
"-199",130,52.217,Disk,5,0
"-199",171,52.217,Disk,5,0
"-199",36,52.217,Disk,5,0
"-199",44,52.217,Disk,5,0
"-199",-95,52.217,Disk,5,0
"-199",-3,52.217,Disk,5,0
"-199",-133,52.217,Disk,5,0
"-199",-76,52.217,Disk,5,0
"-199",32,52.217,Disk,5,0
"-199",-67,52.217,Disk,5,0
"-199",103,52.217,Disk,5,0
"-199",-108,52.217,Disk,5,0
"-199",-38,52.217,Disk,5,0
"-199",10,52.217,Disk,5,0
"-199",-119,52.217,Disk,5,0
"-199",-179,52.217,Disk,5,0
"-199",-10,52.217,Disk,5,0
"-199",132,52.217,Disk,5,0
"-199",128,52.217,Disk,5,0
"-199",-177,52.217,Disk,5,0
"-199",-49,52.217,Disk,5,0
"-199",195,52.217,Disk,5,0
"-199",-27,52.217,Disk,5,0
"-199",-77,52.217,Disk,5,0
"-199",9,52.217,Disk,5,0
"-199",-156,52.217,Disk,5,0
"-199",105,52.217,Disk,5,0
"-199",-198,52.217,Disk,5,0
"-199",119,52.217,Disk,5,0
"-199",86,52.217,Disk,5,0
"-199",57,52.217,Disk,5,0
"-199",-88,52.217,Disk,5,0
"-199",-16,52.217,Disk,5,0
"-199",-171,52.217,Disk,5,0
"-199",-170,52.217,Disk,5,0
"-199",42,52.217,Disk,5,0
"-199",-78,52.217,Disk,5,0
"-199",-151,52.217,Disk,5,0
"-199",129,52.217,Disk,5,0
"-199",-199,52.217,Disk,5,0
"-199",-63,52.217,Disk,5,0
"-199",123,52.217,Disk,5,0
"-199",-23,52.217,Disk,5,0
"-199",-5,52.217,Disk,5,0
"-199",0,52.217,Disk,5,0
"-199",55,52.217,Disk,5,0
